I (A),E (V),FC Efficiency (),FC Power (W),FC Voltage (V),Nernst Gain (V),Ohmic Loss (V),PH2 (atm),PH2O (atm),PO2 (atm),Power-Thermal (W)
5.8,0.7279993216558556,0.3899251481151652,4.189550753923393,0.7223363368833435,0.013368265227487972,0.01903125,8.913585430135046e-06,0.00010696302516162058,7.057376212208504e-06,2.944449246076607
5.9,0.7278693208652462,0.38974802260909236,4.259848450111727,0.7220082118833436,0.013498266018097338,0.019359375,9.067267937551169e-06,0.00010880721525061405,7.179055112418996e-06,2.997151549888273
6.0,0.7277415050656189,0.38957089710301945,4.3300805213000615,0.7216800868833435,0.013626081817724647,0.0196875,9.220950444967292e-06,0.00011065140533960751,7.300734012629487e-06,3.049919478699939
6.1,0.7276158020208491,0.38939377159694655,4.400246967488395,0.7213519618833435,0.013751784862494438,0.020015625,9.374632952383411e-06,0.00011249559542860094,7.4224129128399786e-06,3.1027530325116044
6.2,0.7274921430188441,0.3892166460908737,4.4703477886767296,0.7210238368833435,0.01387544386449941,0.02034375,9.528315459799534e-06,0.00011433978551759442,7.54409181305047e-06,3.1556522113232703
6.3,0.7273704626459803,0.38903952058480085,4.540382984865064,0.7206957118833436,0.013997124237363328,0.020671875,9.681997967215655e-06,0.00011618397560658786,7.665770713260961e-06,3.2086170151349354
6.4,0.7272506985793028,0.38886239507872794,4.610352556053399,0.7203675868833436,0.01411688830404079,0.021,9.835680474631776e-06,0.00011802816569558134,7.787449613471452e-06,3.261647443946601
6.5,0.7271327913948371,0.38868526957265515,4.6802565022417335,0.7200394618833436,0.014234795488506428,0.021328125,9.989362982047899e-06,0.0001198723557845748,7.909128513681943e-06,3.3147434977582666
6.6,0.7270166843905339,0.38850814406658224,4.750094823430067,0.7197113368833435,0.014350902492809623,0.02165625,1.0143045489464018e-05,0.00012171654587356823,8.030807413892435e-06,3.3679051765699324
6.7,0.7269023234225284,0.3883310185605094,4.819867519618403,0.7193832118833436,0.014465263460815236,0.021984375,1.0296727996880141e-05,0.00012356073596256172,8.152486314102928e-06,3.4211324803815977
6.8,0.7267896567535296,0.38815389305443654,4.8895745908067365,0.7190550868833436,0.014577930129814008,0.0223125,1.0450410504296262e-05,0.00012540492605155518,8.274165214313419e-06,3.474425409193263
6.9,0.7266786349122782,0.38797676754836363,4.9592160369950715,0.7187269618833436,0.014688951971065324,0.022640625,1.0604093011712385e-05,0.00012724911614054864,8.39584411452391e-06,3.527783963004929
7.0,0.7265692105631157,0.3877996420422908,5.028791858183405,0.7183988368833436,0.014798376320227846,0.02296875,1.0757775519128506e-05,0.00012909330622954207,8.517523014734401e-06,3.5812081418165946
7.1,0.7264613383848048,0.3876225165362179,5.0983020543717394,0.7180707118833436,0.014906248498538829,0.023296874999999998,1.0911458026544627e-05,0.00013093749631853553,8.639201914944893e-06,3.63469794562826
7.2,0.7263549749578251,0.38744539103014497,5.167746625560074,0.7177425868833436,0.015012611925518459,0.023625,1.1065140533960749e-05,0.000132781686407529,8.760880815155384e-06,3.688253374439926
7.3,0.7262500786594428,0.3872682655240721,5.2371255717484075,0.7174144618833436,0.01511750822390075,0.023953125,1.121882304137687e-05,0.00013462587649652245,8.882559715365875e-06,3.7418744282515917
7.4,0.7261466095659179,0.38709114001799916,5.306438892936741,0.7170863368833434,0.015220977317425567,0.02428125,1.1372505548792992e-05,0.0001364700665855159,9.004238615576368e-06,3.7955611070632584
7.5,0.7260445293612767,0.38691401451192636,5.375686589125077,0.7167582118833435,0.015323057522066834,0.024609375,1.1526188056209114e-05,0.00013831425667450937,9.125917515786859e-06,3.8493134108749234
7.6,0.725943801252125,0.38673688900585346,5.444868660313411,0.7164300868833435,0.015423785631218588,0.024937499999999998,1.1679870563625235e-05,0.00014015844676350283,9.24759641599735e-06,3.9031313396865888
7.7,0.7258443898880307,0.38655976349978055,5.513985106501745,0.7161019618833435,0.015523196995312823,0.025265625,1.1833553071041356e-05,0.0001420026368524963,9.369275316207842e-06,3.957014893498255
7.8,0.7257462612870433,0.3863826379937078,5.58303592769008,0.7157738368833436,0.01562132559630024,0.02559375,1.1987235578457479e-05,0.00014384682694148975,9.490954216418333e-06,4.010964072309919
7.9,0.7256493827659569,0.3862055124876349,5.652021123878415,0.7154457118833436,0.015718204117386638,0.025921875,1.21409180858736e-05,0.0001456910170304832,9.612633116628824e-06,4.064978876121586
8.0,0.7255537228749606,0.386028386981562,5.720940695066748,0.7151175868833435,0.015813864008382975,0.02625,1.229460059328972e-05,0.00014753520711947667,9.734312016839315e-06,4.119059304933252
8.1,0.7254592513363474,0.3858512614754891,5.789794641255082,0.7147894618833435,0.015908335546996128,0.026578124999999998,1.2448283100705842e-05,0.00014937939720847013,9.855990917049807e-06,4.173205358744918
8.2,0.7253659389869844,0.38567413596941624,5.858582962443417,0.7144613368833436,0.016001647896359154,0.026906249999999996,1.2601965608121963e-05,0.00015122358729746356,9.977669817260298e-06,4.227417037556582
8.3,0.7252737577242689,0.3854970104633434,5.927305658631752,0.7141332118833436,0.01609382915907464,0.027234375,1.2755648115538087e-05,0.00015306777738645705,1.0099348717470792e-05,4.281694341368249
8.4,0.7251826804553219,0.3853198849572705,5.995962729820086,0.7138050868833435,0.01618490642802166,0.0275625,1.2909330622954207e-05,0.00015491196747545048,1.0221027617681282e-05,4.336037270179914
8.5,0.7250926810491873,0.3851427594511976,6.06455417600842,0.7134769618833435,0.016274905834156195,0.027890625,1.3063013130370328e-05,0.00015675615756444394,1.0342706517891773e-05,4.39044582399158
8.6,0.7250037342918275,0.38496563394512473,6.133079997196754,0.7131488368833435,0.016363852591516022,0.028218749999999997,1.3216695637786449e-05,0.0001586003476534374,1.0464385418102264e-05,4.444920002803245
8.7,0.7249158158437196,0.3847885084390518,6.201540193385088,0.7128207118833435,0.016451771039623968,0.028546874999999996,1.3370378145202572e-05,0.00016044453774243084,1.0586064318312756e-05,4.499459806614911
8.8,0.7248289021998756,0.384611382932979,6.269934764573424,0.7124925868833436,0.016538684683467954,0.028875,1.3524060652618695e-05,0.00016228872783142435,1.0707743218523249e-05,4.5540652354265765
8.9,0.7247429706521213,0.38443425742690607,6.338263710761757,0.7121644618833435,0.016624616231222144,0.029203125,1.3677743160034814e-05,0.0001641329179204178,1.082942211873374e-05,4.608736289238243
9.0,0.724657999253483,0.3842571319208333,6.406527031950092,0.7118363368833436,0.016709587629860648,0.02953125,1.3831425667450935e-05,0.00016597710800941124,1.0951101018944231e-05,4.663472968049907
9.1,0.7245739667845401,0.3840800064147604,6.474724728138426,0.7115082118833436,0.016793620098803436,0.029859374999999997,1.3985108174867056e-05,0.0001678212980984047,1.1072779919154722e-05,4.7182752718615735
9.2,0.7244908527216198,0.3839028809086874,6.542856799326759,0.7111800868833434,0.01687673416172365,0.030187499999999996,1.4138790682283179e-05,0.00016966548818739816,1.1194458819365213e-05,4.77314320067324
9.3,0.7244086372067081,0.3837257554026146,6.610923245515095,0.7108519618833435,0.01695894967663541,0.030515625,1.4292473189699302e-05,0.00017150967827639162,1.1316137719575706e-05,4.828076754484905
9.4,0.7243273010189709,0.38354862989654176,6.67892406670343,0.7105238368833435,0.017040285864372604,0.03084375,1.4446155697115421e-05,0.00017335386836538506,1.1437816619786198e-05,4.8830759332965705
9.5,0.7242468255477827,0.38337150439046885,6.746859262891763,0.7101957118833435,0.01712076133556078,0.031171874999999998,1.4599838204531542e-05,0.00017519805845437854,1.1559495519996687e-05,4.938140737108236
9.6,0.7241671927671668,0.383194378884396,6.814728834080099,0.7098675868833436,0.017200394116176788,0.0315,1.4753520711947665e-05,0.00017704224854337198,1.1681174420207178e-05,4.993271165919901
9.7,0.7240883852115595,0.3830172533783231,6.8825327802684315,0.7095394618833435,0.01727920167178404,0.031828125,1.4907203219363786e-05,0.0001788864386323654,1.1802853320417668e-05,5.048467219731568
9.8,0.7240103859528187,0.38284012787225025,6.950271101456767,0.7092113368833436,0.01735720093052486,0.032156250000000004,1.506088572677991e-05,0.00018073062872135892,1.1924532220628163e-05,5.103728898543233
9.9,0.7239331785783979,0.38266300236617734,7.017943797645101,0.7088832118833435,0.017434408304945623,0.032484375,1.5214568234196029e-05,0.00018257481881035238,1.2046211120838654e-05,5.1590562023549
10.0,0.7238567471706183,0.38248587686010443,7.085550868833435,0.7085550868833435,0.017510839712725164,0.0328125,1.536825074161215e-05,0.00018441900889934582,1.2167890021049145e-05,5.214449131166566
10.1,0.7237810762869717,0.3823087513540316,7.15309231502177,0.7082269618833436,0.01758651059637179,0.033140625,1.552193324902827e-05,0.0001862631989883393,1.2289568921259636e-05,5.26990768497823
10.2,0.7237061509413936,0.38213162584795873,7.220568136210104,0.7078988368833435,0.017661435941950004,0.03346875,1.5675615756444394e-05,0.00018810738907733274,1.2411247821470127e-05,5.325431863789896
10.3,0.7236319565864499,0.3819545003418858,7.287978332398439,0.7075707118833435,0.017735630296893668,0.033796875000000004,1.5829298263860516e-05,0.0001899515791663262,1.253292672168062e-05,5.381021667601562
10.4,0.7235584790963849,0.38177737483581303,7.355322903586773,0.7072425868833435,0.01780910778695857,0.034125,1.598298077127664e-05,0.00019179576925531966,1.2654605621891112e-05,5.436677096413227
10.5,0.7234857047509797,0.3816002493297402,7.422601849775108,0.7069144618833436,0.017881882132363844,0.034453125,1.613666327869276e-05,0.00019363995934431312,1.2776284522101603e-05,5.492398150224892
10.6,0.7234136202201752,0.3814231238236673,7.489815170963442,0.7065863368833436,0.017953966663168373,0.03478125,1.6290345786108878e-05,0.00019548414943330655,1.2897963422312094e-05,5.548184829036558
10.7,0.7233422125494183,0.3812459983175944,7.556962867151776,0.7062582118833436,0.018025374333925218,0.035109375,1.6444028293525e-05,0.0001973283395223,1.3019642322522585e-05,5.604037132848223
10.8,0.7232714691456891,0.3810688728115215,7.624044938340111,0.7059300868833436,0.018096117737654457,0.035437500000000004,1.6597710800941124e-05,0.00019917252961129352,1.3141321222733078e-05,5.65995506165989
10.9,0.7232013777641715,0.3808917473054486,7.691061384528445,0.7056019618833436,0.01816620911917206,0.035765625,1.6751393308357246e-05,0.00020101671970028696,1.3263000122943568e-05,5.715938615471555
11.0,0.7231319264955334,0.38071462179937576,7.7580122057167795,0.7052738368833436,0.01823566038781014,0.03609375,1.6905075815773366e-05,0.0002028609097892804,1.3384679023154059e-05,5.771987794283221
11.1,0.723063103753782,0.38053749629330286,7.824897401905113,0.7049457118833435,0.018304483129561563,0.036421875,1.7058758323189485e-05,0.00020470509987827388,1.350635792336455e-05,5.828102598094886
11.2,0.7229948982646636,0.38036037078723,7.891716973093447,0.7046175868833435,0.018372688618679984,0.03675,1.7212440830605608e-05,0.0002065492899672673,1.362803682357504e-05,5.884283026906552
11.3,0.7229272990545793,0.3801832452811571,7.958470919281782,0.7042894618833435,0.018440287828764265,0.037078125,1.736612333802173e-05,0.0002083934800562608,1.3749715723785534e-05,5.9405290807182185
11.4,0.722860295439989,0.38000611977508425,8.025159240470117,0.7039613368833436,0.018507291443354588,0.03740625,1.7519805845437854e-05,0.00021023767014525426,1.3871394623996026e-05,5.996840759529883
11.5,0.7227938770172777,0.37982899426901134,8.09178193665845,0.7036332118833435,0.018573709866065838,0.037734375,1.7673488352853973e-05,0.0002120818602342477,1.3993073524206517e-05,6.05321806334155
11.6,0.7227280336530613,0.37965186876293855,8.158339007846786,0.7033050868833436,0.018639553230282296,0.0380625,1.7827170860270092e-05,0.00021392605032324115,1.4114752424417008e-05,6.109660992153214
11.7,0.7226627554749073,0.37947474325686564,8.22483045403512,0.7029769618833436,0.018704831408436238,0.038390625,1.7980853367686215e-05,0.0002157702404122346,1.42364313246275e-05,6.1661695459648795
11.8,0.7225980328624518,0.3792976177507927,8.291256275223454,0.7026488368833435,0.018769554020891664,0.03871875,1.8134535875102338e-05,0.0002176144305012281,1.4358110224837992e-05,6.222743724776548
11.9,0.7225338564388903,0.3791204922447199,8.357616471411788,0.7023207118833436,0.018833730444453203,0.039046875,1.828821838251846e-05,0.00021945862059022153,1.4479789125048483e-05,6.279383528588212
12.0,0.7224702170628245,0.37894336673864704,8.423911042600123,0.7019925868833435,0.018897369820518973,0.039375,1.8441900889934584e-05,0.00022130281067921502,1.4601468025258975e-05,6.336088957399877
12.1,0.7224071058204484,0.37876624123257413,8.490139988788457,0.7016644618833435,0.018960481062895114,0.039703125,1.8595583397350703e-05,0.00022314700076820845,1.4723146925469466e-05,6.392860011211543
12.2,0.7223445140180548,0.3785891157265012,8.55630330997679,0.7013363368833435,0.019023072865288763,0.04003125,1.8749265904766823e-05,0.00022499119085720188,1.4844825825679957e-05,6.449696690023209
12.3,0.7222824331748484,0.37841199022042843,8.622401006165127,0.7010082118833436,0.019085153708495155,0.040359375,1.8902948412182945e-05,0.00022683538094619537,1.496650472589045e-05,6.506598993834873
12.4,0.7222208550160498,0.3782348647143555,8.68843307735346,0.7006800868833436,0.019146731867293734,0.0406875,1.9056630919599068e-05,0.00022867957103518883,1.508818362610094e-05,6.563566922646539
12.5,0.7221597714662762,0.3780577392082826,8.754399523541794,0.7003519618833436,0.01920781541706735,0.041015625,1.921031342701519e-05,0.0002305237611241823,1.520986252631143e-05,6.620600476458205
12.6,0.722099174643186,0.37788061370220977,8.820300344730128,0.7000238368833436,0.019268412240157653,0.04134375,1.936399593443131e-05,0.00023236795121317572,1.5331541426521922e-05,6.677699655269871
12.7,0.7220390568513742,0.37770348819613686,8.886135540918463,0.6996957118833436,0.019328530031969375,0.041671875,1.951767844184743e-05,0.00023421214130216918,1.5453220326732413e-05,6.734864459081536
12.8,0.7219794105765085,0.37752636269006407,8.951905112106799,0.6993675868833436,0.019388176306835113,0.042,1.9671360949263553e-05,0.00023605633139116267,1.5574899226942904e-05,6.792094887893203
12.9,0.7219202284796915,0.37734923718399116,9.017609058295132,0.6990394618833435,0.019447358403652023,0.042328125,1.9825043456679675e-05,0.0002379005214801561,1.5696578127153396e-05,6.849390941704868
13.0,0.7218615033920428,0.3771721116779182,9.083247379483465,0.6987113368833435,0.019506083491300754,0.04265625,1.9978725964095798e-05,0.0002397447115691496,1.5818257027363887e-05,6.906752620516534
13.1,0.7218032283094867,0.37699498617184546,9.148820075671802,0.6983832118833436,0.01956435857385685,0.042984375,2.0132408471511918e-05,0.00024158890165814302,1.5939935927574378e-05,6.964179924328198
13.2,0.7217453963877396,0.3768178606657725,9.214327146860134,0.6980550868833435,0.019622190495603948,0.0433125,2.0286090978928037e-05,0.00024343309174713646,1.606161482778487e-05,7.021672853139865
