I (A),E (V),FC Efficiency (),FC Power (W),FC Voltage (V),PH2 (atm),PO2 (atm),Power-Thermal (W)
41.9,54.22695047448731,0.39428073503942784,2267.91540493031,54.12685930621265,2.065419585681434,2.0384773942318817,2267.3405950696897
42.0,54.226747296853624,0.3942762183483823,2273.3020487043686,54.12623925486592,2.0651722989650207,2.038337776279591,2272.7779512956313
42.1,54.22654409720563,0.3942717034696288,2278.688578942278,54.12561945231064,2.064925012248607,2.0381981583273014,2278.215421057722
42.2,54.22634087553837,0.39426719039377106,2284.0749956642408,54.12499989725689,2.064677725532194,2.0380585403750113,2283.6530043357593
42.3,54.226137631846875,0.39426267911147916,2289.461298890329,54.124380588423854,2.064430438815781,2.0379189224227208,2289.0907011096706
42.4,54.2259343661262,0.39425816961348903,2294.8474886404865,54.12376152453978,2.0641831520993676,2.0377793044704307,2294.5285113595132
42.5,54.225731078371375,0.3942536618906022,2300.2335649345296,54.12314270434187,2.0639358653829545,2.0376396865181405,2299.9664350654703
42.6,54.22552776857745,0.3942491559336843,2305.619527792145,54.12252412657618,2.063688578666541,2.0375000685658504,2305.4044722078547
42.7,54.22532443673945,0.394244651733665,2311.0053772328947,54.121905789997534,2.063441291950128,2.0373604506135603,2310.8426227671052
42.8,54.22512108285241,0.3942401492815376,2316.391113276214,54.12128769336949,2.0631940052337145,2.03722083266127,2316.2808867237854
42.9,54.22491770691136,0.394235648568358,2321.776735941414,54.12066983546419,2.0629467185173014,2.0370812147089796,2321.719264058586
43.0,54.22471430891134,0.39423114958524436,2327.162245247681,54.120052215062344,2.062699431800888,2.03694159675669,2327.157754752319
43.1,54.22451088884737,0.39422665232337656,2332.54764121408,54.11943483095313,2.062452145084475,2.0368019788044,2332.59635878592
43.2,54.224307446714484,0.39422215677399536,2337.9329238595524,54.11881768193408,2.062204858368062,2.0366623608521093,2338.0350761404475
43.3,54.22410398250771,0.3942176629284021,2343.318093202918,54.11820076681104,2.0619575716516487,2.036522742899819,2343.4739067970813
43.4,54.223900496222065,0.3942131707779583,2348.703149262878,54.11758408439811,2.061710284935235,2.0363831249475295,2348.9128507371215
43.5,54.22369698785256,0.3942086803140841,2354.0880920580103,54.116967633517476,2.061462998218822,2.036243506995239,2354.35190794199
43.6,54.22349345739423,0.3942041915282594,2359.4729216067763,54.11635141299946,2.061215711502409,2.036103889042949,2359.7910783932234
43.7,54.2232899048421,0.3941997044120222,2364.857637927521,54.1157354216824,2.0609684247859956,2.0359642710906587,2365.230362072479
43.8,54.22308633019117,0.3941952189569675,2370.2422410384675,54.1151196584125,2.0607211380695825,2.0358246531383686,2370.669758961532
43.9,54.222882733436464,0.3941907351547485,2375.626730957726,54.114504122043876,2.0604738513531693,2.0356850351860785,2376.1092690422734
44.0,54.222679114573,0.39418625299707466,2381.0111077032902,54.113888811438414,2.0602265646367557,2.0355454172337883,2381.5488922967097
44.1,54.22247547359577,0.3941817724757116,2386.3953712930374,54.113273725465696,2.059979277920343,2.035405799281498,2386.9886287069626
44.2,54.222271810499805,0.3941772935824808,2391.7795217447315,54.11265886300297,2.0597319912039294,2.035266181329208,2392.4284782552686
44.3,54.2220681252801,0.39417281630925893,2397.1635590760234,54.11204422293507,2.059484704487516,2.035126563376918,2397.868440923976
44.4,54.22186441793168,0.3941683406479772,2402.547483304451,54.111429804154305,2.059237417771103,2.0349869454246274,2403.3085166955484
44.5,54.221660688449525,0.394163866590621,2407.9312944474405,54.11081560556046,2.0589901310546894,2.0348473274723373,2408.7487055525594
44.6,54.22145693682866,0.39415939412922985,2413.3149925223065,54.11020162606068,2.0587428443382767,2.034707709520047,2414.1890074776934
44.7,54.22125316306406,0.3941549232558959,2418.698577546252,54.10958786456939,2.058495557621863,2.034568091567757,2419.6294224537482
44.8,54.22104936715075,0.39415045396276444,2424.082049536372,54.1089743200083,2.05824827090545,2.034428473615467,2425.0699504636277
44.9,54.22084554908372,0.394145986242033,2429.465408509652,54.10836099130629,2.0580009841890368,2.034288855663177,2430.510591490347
45.0,54.220641708857954,0.3941415200859507,2434.8486544829693,54.10774787739932,2.0577536974726236,2.0341492377108863,2435.9513455170304
45.1,54.220437846468464,0.39413705548681843,2440.231787473093,54.10713497723044,2.0575064107562104,2.0340096197585966,2441.3922125269073
